Title,Price,Area,Link
"2 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune","₹ 94.7 Lac","856 sqft","https://www.magicbricks.com/ashiana-malhar-hinjewadi-pune-pdpid-4d4235333334343239"
"2 BHK Apartment for Sale in Saheel ITrend Homes, Hinjawadi Pune","₹ 73 Lac","653 sqft","https://www.magicbricks.com/saheel-itrend-homes-hinjewadi-pune-pdpid-4d4235303933323633"
"2 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune","₹ 61 Lac","900 sqft","https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837"
"3 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune","₹ 1.02 Cr","1120 sqft","https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837"
"3 BHK Apartment for Sale in Paranjape Blue Ridge, Hinjawadi Pune","₹ 1.80 Cr","1330 sqft","https://www.magicbricks.com/paranjape-blue-ridge-hinjewadi-pune-pdpid-4d4235303030353630"
"2 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune","₹ 62 Lac","629 sqft","https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837"
"2 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune","₹ 79 Lac","930 sqft","https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837"
"3 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune","₹ 1.17 Cr","1188 sqft","https://www.magicbricks.com/kolte-patil-life-republic-hinjewadi-pune-pdpid-4d4235303231313837"
"3 BHK Apartment for Sale in Godrej Evergreen Square, Hinjawadi Pune","₹ 1.18 Cr","963 sqft","https://www.magicbricks.com/godrej-evergreen-square-hinjewadi-pune-pdpid-4d4235343236303035"
"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.22 Cr","990 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"3 BHK Apartment for Sale in Kolte Patil Life Republic Sector R22 Avenue Atmos, Hinjawadi Pune","₹ 1.03 Cr","933 sqft","https://www.magicbricks.com/kolte-patil-life-republic-sector-r22-avenue-atmos-hinjewadi-pune-pdpid-4d4235343136373839"
"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.18 Cr","875 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"2 BHK Apartment for Sale in Hinjawadi Pune","₹ 95.9 Lac","850 sqft","N/A"
"3 BHK Apartment for Sale in Hinjawadi Pune","₹ 1.56 Cr","1150 sqft","N/A"
"2 BHK Apartment for Sale in Megapolis Sunway, Hinjawadi Pune","₹ 71.5 Lac","805 sqft","https://www.magicbricks.com/megapolis-sunway-hinjewadi-pune-pdpid-4d4235303533373730"
"3 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune","₹ 1.39 Cr","1130 sqft","https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039"
"2 BHK Apartment for Sale in VTP Volare, Hinjawadi Pune","₹ 74 Lac","621 sqft","https://www.magicbricks.com/vtp-volare-hinjewadi-pune-pdpid-4d4235343234313439"
