"Title","Price","Area","Link"
"2 BHK Apartment for Sale in Nyati Elysia Kharadi Pune","90 Lac","790 sqft","https://www.magicbricks.com/nyati-elysia-kharadi-pune-pdpid-4d4235303230303139"
"2 BHK Apartment for Sale in Vilas Javdekar Yashwin Orizzonte Kharadi Pune","1.20 Cr","1000 sqft","https://www.magicbricks.com/vilas-javdekar-yashwin-orizzonte-kharadi-pune-pdpid-4d4235313838393832"
"3 BHK Apartment for Sale in Shubh Gateway Air Force Campus Viman Nagar Pune","2.50 Cr","1500 sqft","https://www.magicbricks.com/shubh-gateway-air-force-campus-pune-pdpid-4d4235313234383131"
"2 BHK Apartment for Sale in Meander Yashwant Nagar Kharadi Pune","1.20 Cr","970 sqft","https://www.magicbricks.com/meander-yashwant-nagar-kharadi-pune-pdpid-4d4235303034313030"
"3 BHK Apartment for Sale in Gera World of Joy Kharadi Pune","1.10 Cr","950 sqft","https://www.magicbricks.com/gera-world-of-joy-kharadi-pune-pdpid-4d4235313236363739"
"3 BHK Apartment for Sale in Ganga Liviano Kharadi Pune","1.75 Cr","1215 sqft","https://www.magicbricks.com/ganga-liviano-kharadi-pune-pdpid-4d4235313435343037"
"3 BHK Apartment for Sale in Geras Emerald City South Kharadi Pune","1.64 Cr","1324 sqft","https://www.magicbricks.com/geras-emerald-city-south-kharadi-pune-pdpid-4d4235313534313035"
"3 BHK Apartment for Sale in Duville Riverdale Residences Kharadi Pune","2.15 Cr","1250 sqft","https://www.magicbricks.com/duville-riverdale-residences-kharadi-pune-pdpid-4d4235313235343537"
"3 BHK Apartment for Sale in Ganga Liviano Kharadi Pune","1.75 Cr","1215 sqft","https://www.magicbricks.com/ganga-liviano-kharadi-pune-pdpid-4d4235313435343037"
"2 BHK Apartment for Sale in Ganga Altus Thite Nagar Kharadi Pune","99 Lac","700 sqft","https://www.magicbricks.com/ganga-altus-thite-nagar-pune-pdpid-4d4235313434323639"
"2 BHK Apartment for Sale in Gulmohar Orchids Kharadi Pune","1.10 Cr","950 sqft","https://www.magicbricks.com/gulmohar-orchids-kharadi-pune-pdpid-4d4235303030393134"
"2 BHK Apartment for Sale in Kolte Downtown Cheryl Kharadi Pune","1.10 Cr","890 sqft","https://www.magicbricks.com/kolte-downtown-cheryl-kharadi-pune-pdpid-4d4235303930313033"
"3 BHK Apartment for Sale in Goel Ganga Platino Kharadi Pune","2.40 Cr","1400 sqft","https://www.magicbricks.com/goel-ganga-platino-kharadi-pune-pdpid-4d4235303238373730"
"2 BHK Apartment for Sale in Duville Riverdale Heights Kharadi Pune","1.19 Cr","750 sqft","https://www.magicbricks.com/duville-riverdale-heights-kharadi-pune-pdpid-4d4235303836303230"
"2 BHK Apartment for Sale in Guardian Eastern Meadows Kharadi Pune","80 Lac","750 sqft","https://www.magicbricks.com/guardian-eastern-meadows-kharadi-pune-pdpid-4d4235303832353133"
"2 BHK Apartment for Sale in Gera World of Joy EON Free Zone Kharadi Pune","1.15 Cr","732 sqft","https://www.magicbricks.com/gera-world-of-joy-eon-free-zone-pune-pdpid-4d4235313236363739"
"2 BHK Apartment for Sale in Pristine Allure Kharadi Pune","1.32 Cr","862 sqft","https://www.magicbricks.com/pristine-allure-kharadi-pune-pdpid-4d42353332383339"
"3 BHK Apartment for Sale in Marvel Cerise Kharadi Pune","2.75 Cr","1370 sqft","https://www.magicbricks.com/marvel-cerise-kharadi-pune-pdpid-4d4235303230353433"
"2 BHK Apartment for Sale in Unique Youtopia Kharadi Pune","1.15 Cr","776 sqft","https://www.magicbricks.com/unique-youtopia-kharadi-pune-pdpid-4d4235333235313439"
